"",2014,2015,2016,2017,2018
Findings on the Merits,"3,020","4,091","3,345","2,833","2,724"
No Findings on the Merits,"4,273","4,974","3,382","3,097","2,798"
Total Allegations Closed After Full Investigation,"7,293","9,065","6,727","5,930","5,522"
"Rate at Which the CCRB Made Findings on theMerits",41%,45%,50%,48%,49%
